section,bin1,bin2,n_obs,sse_bs,sse_sabr,sse_bartlett,mse_bs,mse_sabr,mse_bartlett,gain_sabr_vs_bs,gain_bart_vs_bs,relgain_bart_vs_sabr
BUCKET,4,7,68,707.7649100437554,2600.9593861497433,1816.9524390676113,10.408307500643462,38.249402737496226,26.719888809817814,-2.6748916896557455,-1.5671694277062755,0.3014299074629976
BUCKET,5,1,1709,30886.28176922261,48613.75963713539,28439.432161279314,18.072721924647517,28.445734135245985,16.640978444282805,-0.5739595979978969,0.07922124217559645,0.41499212623014614
BUCKET,5,2,1079,15383.942831746219,32889.22180128489,17451.04655878064,14.257592985863038,30.48120648867923,16.17335176902747,-1.1378928770727668,-0.1343676162634171,0.4693992255511842
BUCKET,5,3,901,12131.653178451665,38165.06629398202,16425.0396393695,13.46465391615057,42.35856414426417,18.229788722940622,-2.145908124192925,-0.35389953848530564,0.5696315705873816
BUCKET,5,4,822,11558.193501804219,37587.545701230956,14605.283583666765,14.06106265426304,45.72694124237343,17.767984894971733,-2.2520259931072784,-0.2636303053229643,0.6114329012125829
BUCKET,5,5,821,10249.963695141065,32071.130048907115,17435.94943242738,12.484730444751602,39.06349579647639,21.237453632676466,-2.1289018188532944,-0.7010742624086357,0.45633504632239974
BUCKET,5,6,492,6197.808331081886,25858.423276682275,11778.15841318074,12.59717140463798,52.5577708875656,23.939346368253535,-3.1721882793636578,-0.9003747428124729,0.5445136663146184
BUCKET,5,7,71,853.6535707759789,3882.0503889600186,1669.5286298427961,12.023289729239139,54.676766041690406,23.514487744264734,-3.5475711949886177,-0.9557449145619801,0.5699363834661471
BUCKET,6,1,1923,34261.88072589964,58188.22702394129,33007.32593192751,17.816890653093935,30.25908841598611,17.164496064444883,-0.6983372129935346,0.03661663537996529,0.43274906935475466
BUCKET,6,2,1256,17436.98872816822,39184.65654201164,18828.22007745274,13.882952809051131,31.197974953830922,14.990621080774476,-1.2472146511577198,-0.07978621601315172,0.5195001886193348
BUCKET,6,3,1065,13689.045441636683,45772.61889727037,18815.681039256604,12.853563794964021,42.97898488006607,17.667306140147048,-2.3437407372502466,-0.3745064343220541,0.5889315164272003
BUCKET,6,4,960,13020.296874590531,43701.942934601124,16245.401727438508,13.562809244365136,45.522857223542836,16.92229346608178,-2.356447503120046,-0.24769825787473843,0.6282682041906158
BUCKET,6,5,953,11667.190237357832,39321.06259982499,18236.26644459817,12.242592064383874,41.26029653706714,19.13564159978822,-2.370225547014796,-0.5630384071570587,0.536221423357991
BUCKET,6,6,636,7935.443270011625,36989.99883386704,12116.254932898928,12.477112059766705,58.16037552494817,19.0507153033002,-3.6613651657814508,-0.5268529457814621,0.672445111790444
BUCKET,6,7,85,957.3182835287181,4538.173968938993,1634.2729176189891,11.262568041514331,53.39028198751757,19.226740207282226,-3.7405069421750525,-0.7071364307333461,0.6398831493008904
BUCKET,7,1,2215,35407.4010562828,63479.72208942213,37406.21182143514,15.985282643919998,28.659016744660104,16.88768028055763,-0.7928376609318548,-0.056451778597787605,0.41073762470569664
BUCKET,7,2,1541,19134.79948522117,42539.66765065523,20865.98323978636,12.417131398586093,27.60523533462377,13.540547202976224,-1.2231572211410366,-0.09047305438984488,0.5094935058933173
BUCKET,7,3,1339,15499.411394511077,48382.88891856825,21138.06130662367,11.575363252062044,36.13359889362827,15.786453552370178,-2.1215952455912257,-0.3637976803499423,0.5631087399059513
BUCKET,7,4,1227,15311.683436248564,48255.56443340017,18816.307167375093,12.478959605744551,39.32808837277928,15.335213665342375,-2.1515518613166296,-0.22888559221579485,0.6100696906499895
BUCKET,7,5,1214,13602.269612406397,43440.0967692523,19420.676588995615,11.204505446792748,35.78261677862628,15.99726242915619,-2.1935918054168937,-0.42775265763607195,0.5529320136611222
BUCKET,7,6,820,9139.534540381372,40657.870721751744,13085.009560490409,11.14577382973338,49.582769172867984,15.957328732305378,-3.448571263898871,-0.4316932118016157,0.6781678595507463
BUCKET,7,7,109,1047.7701234227127,4793.287261392748,1625.2280304886326,9.612569939657915,43.97511248984173,14.910348903565437,-3.5747508487211785,-0.5511303425789229,0.660936651224946
BUCKET,8,1,2627,35858.43264638724,59525.91325957103,42899.07484853301,13.649955327897693,22.659274175702716,16.330062751630383,-0.6600255188668516,-0.1963455087838346,0.27932101332968007
BUCKET,8,2,1989,20954.700170382035,38915.0527692155,24405.877258211396,10.535294203309219,19.565134625045502,12.27042597195143,-0.8571037739885745,-0.16469703979383832,0.3728422417168573
BUCKET,8,3,1784,17911.31118253005,44645.8453802245,25273.80618299014,10.039972635947338,25.02569808308548,14.166931716922726,-1.492606204272203,-0.4110528216181717,0.43390463395313017
BUCKET,8,4,1625,17367.10138700573,45671.25895876962,21107.782759268135,10.68744700738814,28.105390128473612,12.989404774934236,-1.6297571449051018,-0.2153889292695228,0.5378322551098605
