date,D_days,tau,n_strikes,alpha,rho,nu,vol_rmse
2023-02-10,77,0.21095890410958903,282,0.17998594519850353,-0.6455080570716522,1.8507553172085045,0.008478649875787577
2023-02-10,98,0.2684931506849315,504,0.1814288586715437,-0.6487935696969644,1.6328878184710507,0.006431142415368601
2023-02-10,110,0.3013698630136986,155,0.1814583717981388,-0.6804074524016593,1.4681251702842517,0.0038360819511609467
2023-02-10,126,0.3452054794520548,465,0.18391561809437815,-0.680321237959107,1.418542825001495,0.004470610257068104
2023-02-10,140,0.3835616438356164,314,0.18130955281507904,-0.6720566467697237,1.4379633119158641,0.006691475512861243
2023-02-10,161,0.4410958904109589,201,0.18241443744299707,-0.7050151027941116,1.380886345100328,0.007789300901241335
2023-02-10,171,0.4684931506849315,126,0.17745367063824807,-0.6463222264165184,1.4719235358590705,0.010015513890363413
2023-02-10,189,0.5178082191780822,121,0.18304462806638006,-0.7201858292319079,1.2574388077213892,0.006278557877969378
2023-02-13,2,0.005479452054794521,70,0.28407106001553434,0.1,3.0,0.06010455479868857
2023-02-13,3,0.00821917808219178,86,0.26388964282576605,0.1,3.0,0.06695886541710973
2023-02-13,4,0.010958904109589041,342,0.36271489092320786,0.1,3.0,0.24394846092347391
2023-02-13,8,0.021917808219178082,85,0.17916039351098595,0.1,3.0,0.02572298921849933
2023-02-13,9,0.024657534246575342,84,0.1786675560866821,-0.014031836558191074,2.7316845232449523,0.016911705378097303
2023-02-13,10,0.0273972602739726,97,0.18041262216880727,-0.02972653432168207,3.0,0.01977018031311689
2023-02-13,11,0.030136986301369864,118,0.1751135036640848,-0.14685879374642413,3.0,0.02007749232789852
2023-02-13,14,0.038356164383561646,98,0.16606935267198408,-0.1182031707701674,2.4989464931327157,0.01369898479785655
2023-02-13,15,0.0410958904109589,150,0.1574950404554452,-0.21126427942626644,2.75842288563221,0.018158729022678222
2023-02-13,16,0.043835616438356165,91,0.16888646399608592,-0.26299576422372334,2.220149156942869,0.00945600095987461
2023-02-13,17,0.04657534246575343,94,0.16718726790065996,-0.2341043946211727,2.6580310611336495,0.012477519364318287
2023-02-13,18,0.049315068493150684,126,0.1685046899550025,-0.3104391557817989,2.1151832269471202,0.013295617928700112
2023-02-13,21,0.057534246575342465,105,0.16274039926557946,-0.23467636884843207,2.0063511278784696,0.011645407572418224
2023-02-13,22,0.06027397260273973,73,0.16386748555073524,-0.3205688826424072,2.452600178262593,0.009540198857602013
2023-02-13,23,0.06301369863013699,79,0.1706657453318309,-0.3525491008879306,1.8016640335496896,0.008945267172823002
2023-02-13,24,0.06575342465753424,68,0.16902879942590168,-0.3494559009641366,2.1866298456257494,0.008716316872515105
